FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,ECOICOP_2,ECOICOP 2,TIME_PERIOD,Observation,OBS_STATUS,Observation status
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097401,Articoli di cartoleria,2017,1098,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097401,Articoli di cartoleria,2018,1184,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097401,Articoli di cartoleria,2019,1249,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097401,Articoli di cartoleria,2020,1284,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097401,Articoli di cartoleria,2021,1372,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097401,Articoli di cartoleria,2022,1551,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097401,Articoli di cartoleria,2023,1558,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097401,Articoli di cartoleria,2024,1428,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097401,Articoli di cartoleria,2025,1147,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097401,Articoli di cartoleria,2026,2048,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097402,Altri articoli di cancelleria e materiale da disegno,2016,1159,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097402,Altri articoli di cancelleria e materiale da disegno,2017,869,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097402,Altri articoli di cancelleria e materiale da disegno,2018,614,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097402,Altri articoli di cancelleria e materiale da disegno,2019,851,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097402,Altri articoli di cancelleria e materiale da disegno,2020,784,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097402,Altri articoli di cancelleria e materiale da disegno,2021,929,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097402,Altri articoli di cancelleria e materiale da disegno,2022,1015,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097402,Altri articoli di cancelleria e materiale da disegno,2023,1628,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097402,Altri articoli di cancelleria e materiale da disegno,2024,1849,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097402,Altri articoli di cancelleria e materiale da disegno,2025,1575,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097402,Altri articoli di cancelleria e materiale da disegno,2026,1205,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,098,"Viaggi ""tutto compreso""",1996,2343,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,098,"Viaggi ""tutto compreso""",1997,2343,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,098,"Viaggi ""tutto compreso""",1998,2343,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,098,"Viaggi ""tutto compreso""",1999,2628,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,098,"Viaggi ""tutto compreso""",2000,2841,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,098,"Viaggi ""tutto compreso""",2001,3064,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,098,"Viaggi ""tutto compreso""",2002,3312,,
